fips,total_cases,fips,total_death
19089,151232,19089,3312
19091,185876,19091,3270
19093,129010,19093,4257
19095,224989,19095,3589
19097,340849,19097,5146
19099,626152,19099,13872
19101,194103,19101,3836
19103,2446228,19103,12865
19105,462031,19105,7268
19107,142206,19107,3810
19109,297623,19109,6315
19111,551934,19111,6733
19113,3331844,19113,61239
19115,256775,19115,7769
19117,111299,19117,2915
19119,245104,19119,5247
19121,213397,19121,2344
19123,345383,19123,9291
19125,541107,19125,9014
19127,947243,19127,14587
19129,239219,19129,2624
19131,191978,19131,4872
19133,123335,19133,3126
19135,138502,19135,4821
19137,141067,19137,4667
19139,780874,19139,22040
19141,309559,19141,9048
19143,122194,19143,1587
19145,266134,19145,2276
19147,163588,19147,2181
19149,676412,19149,12543
19151,139029,19151,2308
19153,9293500,19153,114201
19155,1664296,19155,23200
19157,247822,19157,5624
19159,71958,19159,2198
19161,199575,19161,2430
19163,2799689,19163,30513
19165,199089,19165,4239
19167,895736,19167,9302
19169,1714675,19169,7732
19171,413206,19171,14994
19173,112725,19173,1553
19175,185660,19175,3905
19177,89525,19177,2291
19179,734464,19179,22699
19181,804039,19181,8643
19183,398765,19183,7519
19185,74729,19185,3252
19187,869276,19187,12474
19189,217746,19189,5635
19191,278356,19191,4107
19193,2845229,19193,39008
19195,102035,19195,675
19197,335480,19197,3772
20001,142419,20001,219
20003,115163,20003,18
20005,243462,20005,2024
20007,51819,20007,300
20009,412986,20009,3808
20011,187478,20011,866
20013,182909,20013,4261
20015,1038417,20015,7633
20017,47450,20017,581
20019,33778,20019,408
20021,356149,20021,2899
20023,54101,20023,1719
20025,40980,20025,807
20027,115499,20027,3582
20029,146296,20029,427
20031,108325,20031,3619
20033,23350,20033,1041
20035,520802,20035,2132
20037,712624,20037,8786
20039,42320,20039,445
20041,237154,20041,4333
20043,139045,20043,949
20045,1380944,20045,9742
20047,42752,20047,12
20049,21799,20049,5
20051,604143,20051,8300
20053,178941,20053,674
20055,1249815,20055,8745
20057,1284944,20057,3332
20059,359908,20059,4306
20061,413449,20061,3211
20063,63213,20063,3733
20065,38937,20065,406
20067,174266,20067,2955
20069,101454,20069,1546
20071,16945,20071,1
20073,82607,20073,597
20075,36764,20075,1
20077,91104,20077,2521
20079,504728,20079,7276
20081,71191,20081,223
20083,30998,20083,744
20085,212225,20085,2041
20087,231504,20087,3687
20089,30235,20089,489
20091,8363326,20091,103936
20093,93665,20093,1673
20095,104449,20095,1504
20097,37631,20097,477
20099,360202,20099,4875
20101,21866,20101,720
20103,1224220,20103,8882
20105,34298,20105,478
20107,107834,20107,1147
20109,47223,20109,6
20111,717446,20111,13999
20113,447948,20113,8436
20115,142963,20115,2042
20117,148064,20117,3038
20119,82507,20119,1089
20121,371365,20121,3501
20123,75977,20123,18
20125,454816,20125,1875
20127,77527,20127,1911
20129,37657,20129,1538
20131,230702,20131,6894
20133,237987,20133,2276
20135,60603,20135,2745
20137,206315,20137,4413
20139,163060,20139,1499
20141,36535,20141,12
20143,79277,20143,13
20145,187547,20145,1320
20147,109641,20147,3457
20149,246377,20149,2226
20151,122381,20151,3026
20153,56326,20153,911
20155,1279525,20155,17343
20157,97856,20157,1853
20159,145127,20159,245
20161,1011209,20161,5200
20163,95073,20163,1719
20165,63822,20165,14
20167,128132,20167,3290
20169,851531,20169,13557
20171,102679,20171,2438
20173,8112802,20173,71302
20175,825567,20175,5026
20177,2459227,20177,46806
20179,68699,20179,13
20181,97057,20181,1222
20183,37879,20183,249
20185,52783,20185,1250
